"player","position","team","playerId","birthdate","points","lower","upper","sdPts","positionRank","dropoff","tier","vor","overallRank","adp","aav","adpDiff","exp","ecrPosition","sdRank","ecrRank","risk"
"Ted Ginn","WR","NO",2507166,1985-04-12,152.5,152.5,152.5,,53,1.9375,0,-37.0833333333333,176,121.47,0.853333333333333,54.53,11,,,,
"Joe Flacco","QB","BAL",382,1985-01-16,215.14,215.14,215.14,,28,32.36,0,-37.2266666666667,177,170.576666666667,1.00666666666667,6.42333333333332,10,,,,
"Josh Doctson","WR","WAS",2555343,1992-12-03,150.875,150.875,150.875,,54,4.9375,0,-38.7083333333333,178,109.442,1.77333333333333,68.558,2,,,,
"Sterling Shepard","WR","NYG",2555295,1993-02-10,150.25,150.25,150.25,,55,9.375,0,-39.3333333333333,179,89.878,1.80333333333333,89.122,2,,,,
"Austin Seferian-Jenkins","TE","JAC",2543683,1992-09-29,110.375,110.375,110.375,,25,1.875,0,-39.375,180,108.7325,1.31,71.2675,4,,,,
"Redskins","DST","WAS",100032,,82,82,82,,24,1,0,-40,181,150.48,0.583333333333333,30.52,48,,,,
"Mike Gesicki","TE","MIA",2560994,1995-10-03,109.375,109.375,109.375,,26,4,0,-40.375,182,116.088,1.78333333333333,65.912,0,,,,
"Corey Clement","RB","PHI",2559150,1994-11-02,116.75,116.75,116.75,,50,4.5625,0,-40.8916666666667,183,110.84,0.946666666666667,72.16,1,,,,
"Bengals","DST","CIN",100006,,81,81,81,,25,0,0,-41,184,160.075,0.576666666666667,23.925,48,,,,
"Dolphins","DST","MIA",100019,,81,81,81,,25,2,0,-41,184,159.93,0.7,24.07,48,,,,
"Giants","DST","NYG",100023,,81,81,81,,25,7.5,0,-41,184,183.91,0.643333333333333,0.0900000000000034,48,,,,
"Vernon Davis","TE","WAS",2495826,1984-01-31,107.625,107.625,107.625,,27,8.8125,0,-42.125,187,185.58,0.513333333333333,1.41999999999999,12,,,,
"Wayne Gallman","RB","NYG",2557952,1994-10-01,115.125,115.125,115.125,,51,6.6875,0,-42.5166666666667,188,199.41,0.21,-11.41,1,,,,
"49ers","DST","SF",100029,,77,77,77,,28,8.5,0,-45,189,180.716666666667,0.586666666666667,8.28333333333333,48,,,,
"Benjamin Watson","TE","NO",2506122,1980-12-18,103.125,103.125,103.125,,28,9,0,-46.625,190,129.634,0.65,60.366,14,,,,
"Will Fuller","WR","HOU",2555346,1994-04-16,141.625,141.625,141.625,,56,2.75,0,-47.9583333333333,191,63.805,2.405,127.195,2,,,,
"Latavius Murray","RB","MIN",2541161,1990-01-18,109.25,109.25,109.25,,52,2.075,0,-48.3916666666667,192,120.29,1.55,71.71,5,,,,
"John Ross","WR","CIN",2558010,1995-11-27,140.125,140.125,140.125,,57,3.1875,0,-49.4583333333333,193,155.6025,0.696666666666667,37.3975,1,,,,
"Sony Michel","RB","NE",2560809,1995-02-17,107.625,107.625,107.625,,53,1.8875,0,-50.0166666666667,194,53.938,8.21666666666667,140.062,0,,,,
"Doug Martin","RB","OAK",2532899,1989-01-13,106.725,106.725,106.725,,54,2.175,0,-50.9166666666667,195,117.978,0.923333333333333,77.022,6,,,,
"Dede Westbrook","WR","JAC",2557895,1993-11-21,137.625,137.625,137.625,,58,3.8125,0,-51.9583333333333,196,167.59,0.696666666666667,28.41,1,,,,
"Jets","DST","NYJ",100024,,70,70,70,,29,3.5,0,-52,197,160.29,0.646666666666667,36.71,48,,,,
"Corey Grant","RB","JAC",2553650,1991-12-19,104.75,104.75,104.75,,55,2.2,0,-52.8916666666667,198,188.55,0.22,9.44999999999999,3,,,,
"Darren Sproles","RB","PHI",2506467,1983-06-20,104.35,104.35,104.35,,56,3.8125,0,-53.2916666666667,199,188.316666666667,0.68,10.6833333333333,13,,,,
"Kenny Golladay","WR","DET",2558052,1993-01-01,136.25,136.25,136.25,,59,5.875,0,-53.3333333333333,200,113.914,1.67333333333333,86.086,1,,,,
"Raiders","DST","OAK",100018,,67,67,67,,30,1.5,0,-55,201,159.91,0.676666666666667,41.09,48,,,,
"Tyrod Taylor","QB","CLE",2495240,1989-08-03,197.34,197.34,197.34,,29,37.31,0,-55.0266666666667,202,163.9825,1.27666666666667,38.0175,7,,,,
"Jake Butt","TE","DEN",2557859,1995-07-11,94.5,94.5,94.5,,29,3.8125,0,-55.25,203,174.03,0.85,28.97,1,,,,
"Colts","DST","IND",100014,,66,66,66,,31,1,0,-56,204,160.41,0.61,43.59,48,,,,
"Garrett Celek","TE","SF",2534820,1988-05-29,93.75,93.75,93.75,,30,7.0625,0,-56,204,160.435,0.443333333333333,43.565,6,,,,
"Peyton Barber","RB","TB",2556466,1994-06-27,100.75,100.75,100.75,,57,1.4375,0,-56.8916666666667,206,138.988,0.67,67.012,2,,,,
"Browns","DST","CLE",100007,,65,65,65,,32,,0,-57,207,160.14,0.62,46.86,48,,,,
"Nyheim Hines","RB","IND",2560742,1996-11-12,100.325,100.325,100.325,,58,5.21249999999999,0,-57.3166666666666,208,112.178,1.29333333333333,95.822,0,,,,
"Jermaine Kearse","WR","NYJ",2532887,1990-02-06,131.375,131.375,131.375,,60,3.5,0,-58.2083333333333,209,186.88,0.64,22.12,6,,,,
"C.J. Anderson","RB","CAR",2540269,1991-02-10,98.3,98.3,98.3,,59,8.10000000000002,0,-59.3416666666666,210,97.146,1.83333333333333,112.854,5,,,,
"Martavis Bryant","WR","OAK",2543572,1991-12-20,129.375,129.375,129.375,,61,3.125,0,-60.2083333333333,211,123.392,1.52333333333333,87.608,4,,,,
"Nick Boyle","TE","BAL",2552402,1993-02-17,87.625,87.625,87.625,,31,4.5625,0,-62.125,212,160.49,0.125,51.51,3,,,,
"Cameron Meredith","WR","NO",2553568,1992-09-21,126.375,126.375,126.375,,62,1.875,0,-63.2083333333333,213,113.936,1.79,99.064,3,,,,
"Chris Godwin","WR","TB",2558105,1996-02-27,126.125,126.125,126.125,,63,3.875,0,-63.4583333333333,214,151.91,0.846666666666667,62.09,1,,,,
"Luke Willson","TE","DET",2541199,1990-01-15,85.75,85.75,85.75,,32,7.75,0,-64,215,184.356666666667,0.563333333333333,30.6433333333333,5,,,,
"Rod Smith","RB","DAL",2553743,1992-01-10,91.925,91.925,91.925,,60,6.825,0,-65.7166666666667,216,186.416666666667,0.453333333333333,29.5833333333333,3,,,,
"J.J. Nelson","WR","ARI",2552656,1992-04-24,122.875,122.875,122.875,,64,3,0,-66.7083333333333,217,204.886666666667,0.62,12.1133333333333,3,,,,
"Geronimo Allison","WR","GB",2556460,1994-01-18,121.625,121.625,121.625,,65,5.375,0,-67.9583333333333,218,129.896,0.593333333333333,88.104,2,,,,
"Nick Chubb","RB","CLE",2561021,1995-12-27,88.475,88.475,88.475,,61,6.8,0,-69.1666666666667,219,109.8925,4.22333333333333,109.1075,0,,,,
"Tyler Higbee","TE","LAR",2555364,1993-01-01,80.375,80.375,80.375,,33,5.25,0,-69.375,220,197.863333333333,0.473333333333333,22.1366666666667,2,,,,
"John Brown","WR","BAL",2543847,1990-04-03,118.125,118.125,118.125,,66,4.6875,0,-71.4583333333333,221,179.023333333333,1.20666666666667,41.9766666666667,4,,,,
"Jesse James","TE","PIT",2552633,1994-06-04,75.625,75.625,75.625,,34,1,0,-74.125,222,194.52,0.573333333333333,27.48,3,,,,
"Adam Shaheen","TE","CHI",2558144,1994-01-01,74.625,74.625,74.625,,35,3.25,0,-75.125,223,191.056666666667,0.56,31.9433333333333,1,,,,
"Clive Walford","TE","NYJ",2552397,1991-10-21,74.625,74.625,74.625,,35,1.125,0,-75.125,223,160.475,0.13,62.525,3,,,,
"Terrance Williams","WR","DAL",2539205,1989-09-18,114.375,114.375,114.375,,67,3.0625,0,-75.2083333333333,225,187.376666666667,1.1,37.6233333333333,5,,,,
"Charles Sims","RB","TB",2543770,1990-09-19,81.725,81.725,81.725,,62,1.3625,0,-75.9166666666667,226,208.316666666667,0.433333333333333,17.6833333333333,4,,,,
"Chris Carson","RB","SEA",2558865,1994-09-16,81.625,81.625,81.625,,63,5.9375,0,-76.0166666666667,227,104.28,1.68,122.72,1,,,,
"Brandon Marshall","WR","SEA",2495893,1984-03-23,112.5,112.5,112.5,,68,2.9375,0,-77.0833333333333,228,196.89,0.506666666666667,31.11,12,,,,
"Dallas Goedert","TE","PHI",2560995,1994-01-03,72.375,72.375,72.375,,37,2.875,0,-77.375,229,167.73,1.17333333333333,61.27,0,,,,
"Jalen Richard","RB","OAK",2556885,1993-10-15,79.1,79.1,79.1,,64,7.08749999999999,0,-78.5416666666667,230,206.833333333333,0.433333333333333,23.1666666666667,2,,,,
"Marcedes Lewis","TE","GB",2495888,1984-05-19,70.375,70.375,70.375,,38,2.0625,0,-79.375,231,160.475,0.413333333333333,70.525,12,,,,
"Calvin Ridley","WR","ATL",2560854,1994-12-20,110.125,110.125,110.125,,69,1.625,0,-79.4583333333333,232,100.506,3.91,131.494,0,,,,
"Courtland Sutton","WR","DEN",2560888,1995-10-10,109,109,109,,70,1.3125,0,-80.5833333333333,233,155.3475,2.35333333333333,77.6525,0,,,,
"Nick OLeary","TE","BUF",2552403,1992-08-31,68.625,68.625,68.625,,39,1.625,0,-81.125,234,160.48,0.125,73.52,3,,,,
"Quincy Enunwa","WR","NYJ",2543828,1992-05-31,108,108,108,,71,1.6875,0,-81.5833333333333,235,123.315,0.866666666666667,111.685,4,,,,
"Tyler Kroft","TE","CIN",2552586,1992-10-15,68,68,68,,40,2.125,0,-81.75,236,187.55,0.576666666666667,48.45,3,,,,
"Zay Jones","WR","BUF",2557863,1995-03-30,107.375,107.375,107.375,,72,2.125,0,-82.2083333333333,237,184.816666666667,0.553333333333333,52.1833333333333,1,,,,
"Jonnu Smith","TE","TEN",2558207,1995-08-22,66,66,66,,41,1.5625,0,-83.75,238,183.446666666667,0.4,54.5533333333333,1,,,,
"Stephen Anderson","TE","HOU",2556463,1993-01-30,65.75,65.75,65.75,,42,3.25,0,-84,239,202.07,0.446666666666667,36.93,2,,,,
"Josh McCown","QB","NYJ",2505076,1979-07-04,168.22,168.22,168.22,,30,44.5,0,-84.1466666666667,240,185.86,0.57,54.14,16,,,,
"Michael Gallup","WR","DAL",2560735,1996-03-04,105.25,105.25,105.25,,73,0.375,0,-84.3333333333333,241,120.074,2.49333333333333,120.926,0,,,,
"Travis Benjamin","WR","LAC",2532790,1989-12-29,105.25,105.25,105.25,,73,0.0625,0,-84.3333333333333,241,197.803333333333,0.61,43.1966666666667,6,,,,
"Ryan Grant","WR","IND",2543759,1990-12-19,105.125,105.125,105.125,,75,1,0,-84.4583333333333,243,199.395,0.34,43.605,4,,,,
"Mike Wallace","WR","PHI",2507763,1986-08-01,104.625,104.625,104.625,,76,1.5,0,-84.9583333333333,244,139.06,0.796666666666667,104.94,9,,,,
"T.J. Yeldon","RB","JAC",2552471,1993-10-02,72.275,72.275,72.275,,65,1.58750000000001,0,-85.3666666666666,245,167.63,0.953333333333333,77.37,3,,,,
"Aaron Jones","RB","GB",2558116,1994-12-02,71.75,71.75,71.75,,66,3.0625,0,-85.8916666666667,246,100.024,1.74,145.976,1,,,,
"Cole Beasley","WR","DAL",2535698,1989-04-26,103.625,103.625,103.625,,77,1.625,0,-85.9583333333333,247,173.245,0.806666666666667,73.755,6,,,,
"Gerald Everett","TE","LAR",2557889,1994-06-25,63.125,63.125,63.125,,43,1.375,0,-86.625,248,178.956666666667,1.10666666666667,69.0433333333333,1,,,,
"Corey Coleman","WR","BUF",2555333,1994-07-06,102.625,102.625,102.625,,78,2.75,0,-86.9583333333333,249,173.323333333333,1.04666666666667,75.6766666666667,2,,,,
"Ed Dickson","TE","SEA",497224,1987-07-25,61.875,61.875,61.875,,44,0.25,0,-87.875,250,193.853333333333,0.493333333333333,56.1466666666667,8,,,,
"Kyle Juszczyk","RB","SF",2540230,1991-04-23,69.625,69.625,69.625,,67,3.625,0,-88.0166666666667,251,160.395,0.396666666666667,90.605,5,,,,
"Jordan Akins","TE","HOU",2560951,1992-04-19,61.625,61.625,61.625,,45,5.0625,0,-88.125,252,200.023333333333,0.27,51.9766666666667,0,,,,
"Levine Toilolo","TE","DET",2540203,1991-07-30,61.625,61.625,61.625,,45,1.75,0,-88.125,252,160.48,0.065,91.52,5,,,,
"Willie Snead","WR","BAL",2550256,1992-10-17,101.375,101.375,101.375,,79,6.125,0,-88.2083333333333,254,190.923333333333,1.15,63.0766666666667,4,,,,
"Chase Edmonds","RB","ARI",2560711,1996-04-13,67.75,67.75,67.75,,68,4.5625,0,-89.8916666666667,255,175.97,0.703333333333333,79.03,0,,,,
"Mike Williams","WR","LAC",2558846,1994-10-04,98.375,98.375,98.375,,80,6.75,0,-91.2083333333333,256,107.964,1.39,148.036,1,,,,
"Virgil Green","TE","LAC",2495288,1988-08-03,58.125,58.125,58.125,,47,5.6875,0,-91.625,257,193.526666666667,0.473333333333333,63.4733333333333,7,,,,
"Spencer Ware","RB","KC",2540204,1991-11-23,64.25,64.25,64.25,,69,5.65,0,-93.3916666666667,258,135.088,0.6,122.912,5,,,,
"Blake Jarwin","TE","DAL",2559193,1994-07-16,55,55,55,,48,6.5,0,-94.75,259,192.11,0.496666666666667,66.89,1,,,,
"LeGarrette Blount","RB","DET",497149,1986-12-05,62.125,62.125,62.125,,70,10.3,0,-95.5166666666667,260,128.974,1.36666666666667,131.026,8,,,,
"Trent Taylor","WR","SF",2558202,1994-04-30,92.125,92.125,92.125,,81,1.75,0,-97.4583333333333,261,194.056666666667,0.523333333333333,66.9433333333333,1,,,,
"Chester Rogers","WR","IND",2556396,1994-01-12,91.125,91.125,91.125,,82,1.625,0,-98.4583333333333,262,191.613333333333,0.21,70.3866666666667,2,,,,
"Ryan Griffin","TE","HOU",2541316,1990-01-11,49.875,49.875,49.875,,49,3.4375,0,-99.875,263,197.95,0.49,65.05,5,,,,
"Torrey Smith","WR","CAR",2495459,1989-01-26,89.625,89.625,89.625,,83,0.6875,0,-99.9583333333333,264,206.01,0.52,57.99,7,,,,
"Adam Humphries","WR","TB",2553895,1993-06-24,89.375,89.375,89.375,,84,1.375,0,-100.208333333333,265,227.915,0.21,37.085,3,,,,
"Sam Bradford","QB","ARI",497095,1987-11-08,151.84,151.84,151.84,,31,62.04,0,-100.526666666667,266,174.796666666667,1.11333333333333,91.2033333333333,8,,,,
"Braxton Miller","WR","HOU",2555348,1992-11-30,88.5,88.5,88.5,,85,1,0,-101.083333333333,267,160.465,0.51,106.535,2,,,,
"Albert Wilson","WR","MIA",2550272,1992-07-12,87.5,87.5,87.5,,86,4.8125,0,-102.083333333333,268,179.726666666667,1.46333333333333,88.2733333333333,4,,,,
"Kendall Wright","WR","MIN",2532977,1989-11-12,87.5,87.5,87.5,,86,2.1875,0,-102.083333333333,268,205.55,0.476666666666667,62.45,6,,,,
"Malcolm Brown","RB","LAR",2552382,1993-05-15,55.075,55.075,55.075,,71,6.55,0,-102.566666666667,270,206.1,0.433333333333333,63.9,3,,,,
"Jermaine Gresham","TE","ARI",497238,1988-06-16,47.125,47.125,47.125,,50,1.5,0,-102.625,271,160.305,0.416666666666667,110.695,8,,,,
"Demetrius Harris","TE","KC",2541187,1991-07-29,45.75,45.75,45.75,,51,0.625,0,-104,272,160.48,0.11,111.52,5,,,,
"Jeff Heuerman","TE","DEN",2552399,1992-11-24,45.5,45.5,45.5,,52,3.375,0,-104.25,273,160.465,0.456666666666667,112.535,3,,,,
"Josh Hill","TE","NO",2541834,1990-05-21,44.75,44.75,44.75,,53,5.3125,0,-105,274,160.475,0.11,113.525,5,,,,
"Seth Roberts","WR","OAK",2550597,1991-02-22,83.125,83.125,83.125,,88,0.875,0,-106.458333333333,275,160.49,0.396666666666667,114.51,4,,,,
"James Washington","WR","PIT",2560920,1996-04-02,82.25,82.25,82.25,,89,1.375,0,-107.333333333333,276,163.716666666667,1.64666666666667,112.283333333333,0,,,,
"Taylor Gabriel","WR","CHI",2550617,1991-02-17,82.25,82.25,82.25,,89,0.5625,0,-107.333333333333,276,191.08,0.5,84.92,4,,,,
"Paul Richardson","WR","WAS",2543491,1992-04-13,81.125,81.125,81.125,,91,2.09999999999999,0,-108.458333333333,278,126.184,1.29,151.816,4,,,,
"Anthony Miller","WR","CHI",2560810,1994-10-09,80.625,80.625,80.625,,92,4.91249999999999,0,-108.958333333333,279,142.74,2.14666666666667,136.26,0,,,,
"Jordan Wilkins","RB","IND",2560933,1994-07-18,48.575,48.575,48.575,,72,0.825000000000003,0,-109.066666666667,280,128.578,0.786666666666667,151.422,0,,,,
"Jonathan Stewart","RB","NYG",949,1987-03-21,48.475,48.475,48.475,,73,2.15,0,-109.166666666667,281,192.97,0.583333333333333,88.03,10,,,,
"Rico Gathers","TE","DAL",2556375,1994-01-07,39.5,39.5,39.5,,54,0.5,0,-110.25,282,202.47,0.523333333333333,79.53,2,,,,
"Chris Herndon","TE","NYJ",2560738,,39.375,39.375,39.375,,55,0.9375,0,-110.375,283,192.27,0.225,90.73,0,,,,
"Samaje Perine","RB","WAS",2558138,1995-09-16,47.025,47.025,47.025,,74,1.90000000000001,0,-110.616666666667,284,187.72,1.11,96.28,1,,,,
"Dwayne Allen","TE","NE",2533046,1990-02-24,38.625,38.625,38.625,,56,1.4375,0,-111.125,285,160.24,0.55,124.76,6,,,,
"Lance Kendricks","TE","GB",2495187,1988-01-30,38.25,38.25,38.25,,57,2.25,0,-111.5,286,160.405,0.105,125.595,7,,,,
"Robert Turbin","RB","IND",2533460,1989-12-02,45.625,45.625,45.625,,75,3.25,0,-112.016666666667,287,160.47,0.15,126.53,6,,,,
"Tavon Austin","WR","DAL",2539336,1991-03-15,77.425,77.425,77.425,,93,3.8,0,-112.158333333333,288,189.33,0.865,98.67,5,,,,
"Jacquizz Rodgers","RB","TB",2495471,1990-02-06,44.625,44.625,44.625,,76,5.3125,0,-113.016666666667,289,160.43,0.453333333333333,128.57,7,,,,
"Ben Koyack","TE","JAC",2552396,1993-04-09,36.125,36.125,36.125,,58,1.75,0,-113.625,290,160.5,0.03,129.5,3,,,,
"Evan Baylis","TE","CAR",2559299,1993-11-18,35.875,35.875,35.875,,59,3.1875,0,-113.875,291,160.495,0.065,130.505,1,,,,
"Jaron Brown","WR","SEA",2541966,1990-01-08,74,74,74,,94,1.5625,0,-115.583333333333,292,198.14,0.443333333333333,93.86,5,,,,
"Terrelle Pryor","WR","NYJ",2531332,1989-06-20,73.25,73.25,73.25,,95,1.875,0,-116.333333333333,293,185.966666666667,1.42666666666667,107.033333333333,7,,,,
"David Morgan","TE","MIN",2555306,1993-05-19,32.875,32.875,32.875,,60,2.125,0,-116.875,294,170,0.135,124,2,,,,
"Geoff Swaim","TE","DAL",2553454,1993-09-16,32.5,32.5,32.5,,61,3.6875,0,-117.25,295,181.52,1.02666666666667,113.48,3,,,,
"DeAndre Washington","RB","OAK",2555464,1993-02-22,40.125,40.125,40.125,,77,2.3125,0,-117.516666666667,296,205.22,0.586666666666667,90.78,2,,,,
"Tyler Boyd","WR","CIN",2555466,1994-11-15,71.625,71.625,71.625,,96,0.5,0,-117.958333333333,297,189.133333333333,0.52,107.866666666667,2,,,,
"Roger Lewis","WR","NYG",2556592,1993-11-27,71.125,71.125,71.125,,97,1.875,0,-118.458333333333,298,160.47,0.13,137.53,2,,,,
"Taywan Taylor","WR","TEN",2557870,1995-03-02,71.125,71.125,71.125,,97,4.9375,0,-118.458333333333,298,178.95,0.483333333333333,119.05,1,,,,
"Kenneth Dixon","RB","BAL",2555229,1994-01-21,38.5,38.5,38.5,,78,4.525,0,-119.141666666667,300,132.146,0.666666666666667,167.854,2,,,,
"Mike Davis","RB","SEA",2553439,1993-02-19,37.125,37.125,37.125,,79,6.6,0,-120.516666666667,301,160.47,0.135,140.53,3,,,,
"Richard Rodgers","TE","PHI",2550313,1992-01-22,29,29,29,,62,0.4375,0,-120.75,302,160.325,0.846666666666667,141.675,4,,,,
"Will Dissly","TE","SEA",2561046,,28.625,28.625,28.625,,63,1,0,-121.125,303,157.32,0.5575,145.68,0,,,,
"Erik Swoope","TE","IND",2550405,1992-05-08,28.5,28.5,28.5,,64,2.25,0,-121.25,304,160.475,0.115,143.525,4,,,,
"Christian Kirk","WR","ARI",2560781,1996-11-18,67.375,67.375,67.375,,99,2.9375,0,-122.208333333333,305,154.5875,2.57333333333333,150.4125,0,,,,
"Maxx Williams","TE","BAL",2552468,1994-04-12,26.75,26.75,26.75,,65,1.3125,0,-123,306,160.47,0.42,145.53,3,,,,
"A.J. Derby","TE","MIA",2552580,1991-09-20,25.75,25.75,25.75,,66,0.875,0,-124,307,160.49,0.165,146.51,3,,,,
"Jeremy Kerley","WR","BUF",2495189,1988-11-30,65,65,65,,100,1.5625,0,-124.583333333333,308,160.495,0.13,147.505,7,,,,
"Jordan Leggett","TE","NYJ",2557885,1995-01-31,25.125,25.125,25.125,,67,1.875,0,-124.625,309,160.48,0.18,148.52,1,,,,
"Logan Paulsen","TE","ATL",2507828,1987-02-26,24.625,24.625,24.625,,68,4.0625,0,-125.125,310,160.49,0.055,149.51,8,,,,
"Bruce Ellington","WR","HOU",2543646,1991-08-22,63.875,63.875,63.875,,101,2.375,0,-125.708333333333,311,160.465,0.446666666666667,150.535,4,,,,
"T.J. Jones","WR","DET",2543836,1992-07-19,63,63,63,,102,4.6875,0,-126.583333333333,312,150.98,0.16,161.02,4,,,,
"Jeremy Hill","RB","NE",2543603,1992-10-20,30.825,30.825,30.825,,80,0.687499999999996,0,-126.816666666667,313,194.003333333333,0.646666666666667,118.996666666667,4,,,,
"Mark Walton","RB","CIN",2560915,1997-03-29,30.225,30.225,30.225,,81,0.675000000000001,0,-127.416666666667,314,187.296666666667,0.385,126.703333333333,0,,,,
"James Conner","RB","PIT",2557978,1995-05-05,30.05,30.05,30.05,,82,1.4625,0,-127.591666666667,315,125.735,0.546666666666667,189.265,1,,,,
"Jerell Adams","TE","NYG",2555311,1992-12-31,21.875,21.875,21.875,,69,3.375,0,-127.875,316,160.48,0.085,155.52,2,,,,
"Elijah McGuire","RB","NYJ",2557934,1994-06-01,29.05,29.05,29.05,,83,1.05,0,-128.591666666667,317,182.353333333333,0.3,134.646666666667,1,,,,
"Elijhaa Penny","RB","ARI",2556762,1993-08-17,28.125,28.125,28.125,,84,0.3125,0,-129.516666666667,318,170,0.12,148,2,,,,
"TreQuan Smith","WR","NO",2560878,,60,60,60,,103,3.75,0,-129.583333333333,319,173.613333333333,1.14666666666667,145.386666666667,0,,,,
"Thomas Rawls","RB","NYJ",2553733,1993-08-03,27.875,27.875,27.875,,85,0.587499999999999,0,-129.766666666667,320,160.425,0.423333333333333,159.575,3,,,,
"Boston Scott","RB","NO",2561146,1995-04-27,27.75,27.75,27.75,,86,2.4,0,-129.891666666667,321,195.166666666667,0.295,125.833333333333,0,,,,
"C.J. Uzomah","TE","CIN",2552559,1993-01-14,19.25,19.25,19.25,,70,2.0625,0,-130.5,322,150.99,0.2,171.01,3,,,,
"Damien Williams","RB","KC",2550512,1992-04-03,26.825,26.825,26.825,,87,3.1625,0,-130.816666666667,323,170,0.105,153,4,,,,
"Tyler Conklin","TE","MIN",2561027,,17.75,17.75,17.75,,71,1.125,0,-132,324,160.495,0.165,163.505,0,,,,
"Cordarrelle Patterson","WR","NE",2540145,1991-03-17,56.625,56.625,56.625,,104,0.875,0,-132.958333333333,325,197.42,0.55,127.58,5,,,,
"Dalton Schultz","TE","DAL",2560866,1996-07-11,16.625,16.625,16.625,,72,6.125,0,-133.125,326,196.613333333333,0.49,129.386666666667,0,,,,
"Michael Roberts","TE","DET",2558049,1994-05-07,16.625,16.625,16.625,,72,2.375,0,-133.125,326,225.59,0.195,100.41,1,,,,
"Brice Butler","WR","ARI",2541388,1990-01-29,55.875,55.875,55.875,,105,0.3125,0,-133.708333333333,328,199.936666666667,0.483333333333333,128.063333333333,5,,,,
"Cameron Artis-Payne","RB","CAR",2552375,1990-06-23,23.875,23.875,23.875,,88,1.275,0,-133.766666666667,329,160.465,0.476666666666667,168.535,3,,,,
"Carlos Henderson","WR","DEN",2558003,1994-12-19,55.625,55.625,55.625,,106,1.125,0,-133.958333333333,330,205.83,0.26,124.17,1,,,,
"Eric Decker","WR","NE",497284,1987-03-15,55.5,55.5,55.5,,107,2.125,0,-134.083333333333,331,164.12,0.66,166.88,8,,,,
"John Kelly","RB","LAR",2560777,1996-10-04,23.45,23.45,23.45,,89,1.7375,0,-134.191666666667,332,182.746666666667,0.593333333333333,149.253333333333,0,,,,
"Ito Smith","RB","ATL",2559924,1995-09-11,21.75,21.75,21.75,,90,0.462499999999999,0,-135.891666666667,333,186.6,0.51,146.4,0,,,,
"Kalen Ballage","RB","MIA",2560967,,21.675,21.675,21.675,,91,0.800000000000001,0,-135.966666666667,334,162.765,1.26666666666667,171.235,0,,,,
"JMon Moore","WR","GB",2560814,1995-05-23,53.5,53.5,53.5,,108,0.8125,0,-136.083333333333,335,178.046666666667,0.836666666666667,156.953333333333,0,,,,
"Laquon Treadwell","WR","MIN",2555214,1995-06-14,53.25,53.25,53.25,,109,2.25,0,-136.333333333333,336,190.243333333333,0.61,145.756666666667,2,,,,
"Alfred Blue","RB","HOU",2543600,1991-04-27,20.9,20.9,20.9,,92,1.2125,0,-136.741666666667,337,205.923333333333,0.1,131.076666666667,4,,,,
"DeAngelo Henderson","RB","DEN",2557850,1992-11-24,20.85,20.85,20.85,,93,3.2375,0,-136.791666666667,338,201.05,0.466666666666667,136.95,1,,,,
"Demarcus Robinson","WR","KC",2555478,1994-09-21,52.125,52.125,52.125,,110,3.3125,0,-137.458333333333,339,160.49,0.18,178.51,2,,,,
"Lee Smith","TE","OAK",2495347,1987-11-21,11.875,11.875,11.875,,74,3.375,0,-137.875,340,157.313333333333,0.035,182.686666666667,7,,,,
"Bo Scarbrough","RB","DAL",2560865,1996-09-29,18.525,18.525,18.525,,94,3.9,0,-139.116666666667,341,191.643333333333,0.583333333333333,149.356666666667,0,,,,
"Aldrick Robinson","WR","SF",2495331,1988-09-24,49.875,49.875,49.875,,111,2.5625,0,-139.708333333333,342,157.32,0.085,184.68,7,,,,
"Rhett Ellison","TE","NYG",2532835,1988-10-03,9.125,9.125,9.125,,75,1.5,0,-140.625,343,160.495,0.085,182.505,6,,,,
"Jonathan Williams","RB","NO",2555227,1994-02-02,16.7,16.7,16.7,,95,4.15,0,-140.941666666667,344,160.475,0.46,183.525,2,,,,
"Donte Moncrief","WR","JAC",2543614,1993-08-06,47.75,47.75,47.75,,112,1.625,0,-141.833333333333,345,175.343333333333,0.653333333333333,169.656666666667,4,,,,
"Daniel Brown","TE","CHI",2553900,1992-05-26,7.875,7.875,7.875,,76,0.5,0,-141.875,346,,0.21,,3,,,,
"Braedon Bowman","TE","LAC",2556476,1994-01-30,7.375,7.375,7.375,,77,,0,-142.375,347,170,0.115,177,2,,,,
"Andre Holmes","WR","BUF",2495453,1988-06-16,46.875,46.875,46.875,,113,2.125,0,-142.708333333333,348,160.495,0.07,187.505,7,,,,
"Josh Bellamy","WR","CHI",2535964,1989-05-18,45.375,45.375,45.375,,114,1.25,0,-144.208333333333,349,150.98,0.17,198.02,6,,,,
"Travaris Cadet","RB","BUF",2535890,1989-02-01,12.55,12.55,12.55,,96,,0,-145.091666666667,350,160.495,0.105,189.505,6,,,,
"Chad Williams","WR","ARI",2558208,1994-10-19,44.125,44.125,44.125,,115,1.9375,0,-145.458333333333,351,183.395,0.21,167.605,1,,,,
"Rashard Higgins","WR","CLE",2555468,1994-10-07,44.125,44.125,44.125,,115,0.6875,0,-145.458333333333,351,160.485,0.11,190.515,2,,,,
"Kenny Britt","WR","NE",71217,1988-09-19,42.75,42.75,42.75,,117,1.75,0,-146.833333333333,353,200.63,1.15666666666667,152.37,9,,,,
